,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
732,600572,康恩贝,0.1601,0.0241,1.5566,0.0464,5.2802
733,600543,莫高股份,0.1594,0.009,0.7118,0.0687,10.4443
734,600663,陆家嘴,0.1594,0.0033,0.4576,0.0048,0.6539
735,600960,渤海汽车,0.1589,0.0146,3.1351,0.0403,5.1091
736,002625,光启技术,0.1586,0.0216,1.7814,0.0874,9.1896
737,603086,先达股份,0.1584,,1.5377,,
738,002156,通富微电,0.158,0.0133,3.0087,0.0287,5.7396
739,002850,科达利,0.158,,1.2958,,
740,002684,猛狮科技,0.1577,0.01,8.214,0.0208,2.5285
741,002507,涪陵榨菜,0.157,0.0246,0.8498,0.1325,18.601
742,300622,博士眼镜,0.157,,2.4105,,
743,000421,南京公用,0.1562,0.0216,1.5886,0.0436,4.6807
744,002675,东诚药业,0.1562,0.0131,1.3432,0.071,7.7334
745,603357,设计总院,0.156,,0.7181,,
746,600203,福日电子,0.1556,0.0466,20.8324,0.0736,7.7932
747,000636,风华高科,0.1551,0.0134,2.6594,0.0473,6.0408
748,002440,闰土股份,0.1551,0.0186,2.559,0.1038,10.5408
749,603197,保隆科技,0.155,,1.3994,,
750,603920,世运电路,0.1544,,1.1199,,
751,600505,西昌电力,0.1538,0.0137,5.1374,0.0266,4.3503
752,603599,广信股份,0.1531,0.0179,1.0275,0.0657,9.4625
753,600689,上海三毛,0.1525,0.059,,0.1026,11.8017
754,600796,钱江生化,0.1523,0.0156,1.0884,0.0371,5.7865
755,300637,扬帆新材,0.1522,,1.4554,,
756,603331,百达精工,0.1518,,1.4236,,
757,600824,益民集团,0.1507,0.0377,2.3055,0.1289,13.0217
758,002696,百洋股份,0.1504,0.0277,126.3202,0.0699,7.2688
759,000949,新乡化纤,0.1501,0.0251,13.3159,0.0512,7.3635
760,002632,道明光学,0.15,0.0099,1.3895,0.1184,16.3085
761,002403,爱仕达,0.1499,0.0346,2.1371,0.0925,21.9042
762,300017,网宿科技,0.1493,0.02,0.6035,0.1521,21.3222
