,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
1777,000585,*ST东电,,,,,,,
1778,002326,永太科技,,,27.2727,362.271,,1294.7053,
1779,300567,精测电子,,,,,,,
1780,002373,千方科技,,,,,,,
1781,300651,金陵体育,,,,,,,
1782,603203,快克股份,,,55.6252,71.9165,,206.0785,
1783,300656,民德电子,,,,,,,
1784,000768,中航飞机,,,,,,,
1785,603277,银都股份,,,43.8149,116.4839,,686.166,
1786,300696,爱乐达,,,,,,,
1787,600512,腾达建设,,,11.3596,0.6569,,1381.8919,
1788,300735,光弘科技,,,,,,,
1789,000887,中鼎股份,,,,,,,
1790,300080,易成新能,,,,,,,
1791,600596,新安股份,,,24.0691,711.4765,,5969.9694,
1792,000953,ST河化,,-44.69,-21.7554,-70.7615,-0.2406,158.3156,0.5383
1793,000968,蓝焰控股,,,42.3067,329.1701,,1003.0439,
1794,600647,同达创业,,,63.3812,-18.2189,,16.2212,
1795,603580,艾艾精工,,,,,,,
1796,603615,茶花股份,,,28.2086,38.7679,,367.3451,
1797,002044,美年健康,,,,,,,
1798,600729,重庆百货,,,18.4444,695.7657,,18052.3562,
1799,002056,横店东磁,,,,,,,
1800,603626,科森科技,,,27.0872,74.7909,,881.0019,
1801,300194,福安药业,,,63.0975,172.7728,,1434.6047,
1802,600717,天津港,,,19.9798,447.2931,,5930.3314,
1803,002053,云南能投,,,48.4788,59.9771,,647.85,
1804,002596,海南瑞泽,,,,,,,
1805,002074,国轩高科,,,,,,,
1806,300271,华宇软件,,,,,,,
1807,002613,北玻股份,,,21.2914,76.1694,,624.598,
1808,600821,津劝业,,,,,,,
1809,002126,银轮股份,,,,,,,
1810,603885,吉祥航空,,,16.996,618.2808,,6930.3979,
1811,002132,恒星科技,,,,,,,
1812,600038,中直股份,,,12.6355,178.0048,,5359.381,
1813,600053,九鼎投资,,,94.8216,96.403,,382.7403,
1814,002158,汉钟精机,,,33.4535,104.5382,,816.3873,
1815,600883,博闻科技,,,1.0202,7.135,,20.2923,
1816,300369,绿盟科技,,,,,,,
1817,002687,乔治白,,,,,,,
1818,603986,兆易创新,,,37.8738,235.0563,,1106.5222,
1819,600909,华安证券,,,38.5364,244.9694,,810.1217,
1820,000061,农产品,,,,,,,
1821,601108,财通证券,,,36.4107,584.5068,,1814.1427,
1822,600186,莲花健康,,-6.95,12.2854,-59.0385,-0.0555,849.0331,0.7994
1823,000428,华天酒店,,,,,,,
1824,300489,中飞股份,,,,,,,
1825,002806,华锋股份,,,21.46,13.8686,,242.0141,
1826,002277,友阿股份,,,21.933,208.3778,,3854.8069,
1827,600278,东方创业,,,5.1127,71.6902,,8435.5197,
1828,000553,沙隆达A,,,,,,,
1829,601969,海南矿业,,,9.1879,-205.9511,,779.5467,
1830,300556,丝路视觉,,,38.0571,33.5788,,294.965,
1831,600316,洪都航空,,,8.2276,-48.9329,,392.2444,
1832,300575,中旗股份,,,,,,,
1833,002346,柘中股份,,,,,,,
1834,000677,恒天海龙,,,11.7563,2.0313,,334.3596,
1835,600372,中航电子,,,29.9545,148.3544,,2972.8493,
1836,600380,健康元,,,63.1721,425.7418,,5747.5999,
1837,600391,航发科技,,,13.8954,-46.8461,,890.6841,
1838,000722,湖南发展,,,43.9745,51.7894,,128.8986,
1839,603168,莎普爱思,,,74.6588,50.882,,327.9694,
1840,300640,德艺文创,,,,,,,
1841,600421,ST仰帆,,,100.0,-3.3952,,-0.0341,
1842,000736,中交地产,,,,,,,
1843,603198,迎驾贡酒,,,61.0162,382.0718,,1733.0476,
1844,002397,梦洁股份,,,45.5897,91.8589,,1006.7941,
1845,000760,斯太尔,,,10.2077,-144.4675,,121.2634,
1846,000797,中国武夷,,,,,,,
1847,300020,银江股份,,,26.2266,92.3225,,1081.634,
1848,300715,凯伦股份,,,,,,,
1849,300041,回天新材,,,,,,,
1850,600530,交大昂立,,,55.4926,64.3815,,145.6459,
1851,000876,新希望,,,,,,,
1852,300098,高新兴,,,,,,,
1853,600601,方正科技,,,16.4142,-144.9713,,2192.2786,
1854,000938,紫光股份,,,21.5532,733.1736,,22443.6496,
1855,600616,金枫酒业,,,43.8398,28.2273,,397.2252,
1856,600624,复旦复华,,,53.8193,20.2235,,459.6706,
1857,600640,号百控股,,,31.3353,133.9099,,1572.8005,
1858,300149,量子生物,,,,,,,
1859,000982,*ST中绒,,,,,,,
1860,002582,好想你,,,,,,,
1861,002055,得润电子,,,13.8278,52.4538,,3634.5103,
1862,002591,恒大高新,,,,,,,
1863,002081,金螳螂,,,,,,,
1864,603806,福斯特,,,19.7475,224.6496,,2188.8215,
1865,300282,三盛教育,,,,,,,
1866,600819,耀皮玻璃,,,18.0525,60.9735,,1785.6047,
1867,002116,中国海诚,,,10.8439,97.7729,,2058.9955,
1868,603968,醋化股份,,,,,,,
1869,600099,林海股份,,,10.5137,0.2184,,260.5848,
1870,000032,深桑达A,,,20.0543,60.4408,,813.5254,
1871,002218,拓日新能,,,,,,,
1872,000402,金融街,,,,,,,
1873,000413,东旭光电,,,,,,,
1874,002251,步步高,,,,,,,
1875,000533,万家乐,,,20.3852,0.9299,,16.9624,
1876,600268,国电南自,,,24.4277,-27.7294,,1644.3781,
1877,002835,同为股份,,,23.2001,-7.3833,,269.4366,
1878,002312,三泰控股,,,,,,,
1879,600318,新力金融,,,,,,,
1880,002333,罗普斯金,,,6.5912,-43.9528,,502.4452,
1881,000692,惠天热电,,,-11.2,-198.5678,,993.6049,
1882,300637,扬帆新材,,,,,,,
1883,600433,冠豪高新,,,19.6438,49.9236,,1158.9025,
1884,300658,延江股份,,,,,,,
