rank2018,rank2017,name,income,profit,code,market,note,note2
423,475,远东智慧能源股份有限公司,17260,51,0000,,,
424,451,山东南山铝业股份有限公司,17068,1611,0000,,,
425,446,闻泰科技股份有限公司,16916,329,0000,,,
426,254,泛海控股股份有限公司,16876,2891,0000,,,
427,375,上海龙宇燃油股份有限公司,16832,59,0000,,,
428,374,华电福新能源股份有限公司,16813,1986,0000,,,
429,321,安徽华信国际控股股份有限公司,16799,447,0000,,,
430,--,新疆八一钢铁股份有限公司,16757,1168,0000,,,
431,447,安踏体育用品有限公司,16692,3088,0000,,,
432,282,中国船舶工业股份有限公司,16691,-2300,0000,,,
433,341,中信建投证券股份有限公司,16421,4015,0000,,,
434,--,魏桥纺织股份有限公司,16373,522,0000,,,
435,495,隆基绿能科技股份有限公司,16362,3565,0000,,,
436,373,中远海运发展股份有限公司,16341,1462,0000,,,
437,436,天虹纺织集团有限公司,16306,1152,0000,,,
438,313,东方明珠新媒体股份有限公司,16261,2237,0000,,,
439,452,北大资源(控股)有限公司,16247,333,0000,,,
440,435,玉柴国际有限公司,16222,954,0000,,,
441,358,五菱汽车集团控股有限公司,16124,173,0000,,,
442,467,中骏置业控股有限公司,16105,2840,0000,,,
443,423,天士力医药集团股份有限公司,16094,1377,0000,,,
444,--,齐合环保集团有限公司,16021,370,0000,,,
445,390,北京迪信通商贸股份有限公司,15974,322,0000,,,
446,370,易见供应链管理股份有限公司,15963,816,0000,,,
447,478,广东领益智造股份有限公司,15925,1405,0000,,,
448,444,苏州胜利精密制造科技股份有限公司,15913,462,0000,,,
449,384,东方国际创业股份有限公司,15834,173,0000,,,
450,--,鲁西化工集团股份有限公司,15762,1950,0000,,,
451,406,湖北兴发化工集团股份有限公司,15758,321,0000,,,
452,--,亿利洁能股份有限公司,15746,521,0000,,,
453,397,景瑞控股有限公司,15668,806,0000,,,
454,410,宝龙地产控股有限公司,15593,3337,0000,,,
455,--,深圳能源集团股份有限公司,15546,749,0000,,,
456,--,北京北辰实业股份有限公司,15457,1140,0000,,,
457,472,人福医药集团股份公司,15446,2069,0000,,,
458,--,贵研铂业股份有限公司,15442,119,0000,,,
459,320,中国有色金属建设股份有限公司,15427,201,0000,,,
460,--,苏州东山精密制造股份有限公司,15390,526,0000,,,
461,455,天地科技股份有限公司,15379,942,0000,,,
462,--,北京金一文化发展股份有限公司,15320,182,0000,,,
463,387,江河创建集团股份有限公司,15297,466,0000,,,
464,471,唐山冀东水泥股份有限公司,15290,110,0000,,,
